vod_id,clip_start,clip_end,avg_prob,max_prob,num_segments
vod_004,767.0,778.0,0.937012,0.937012,1
vod_004,787.0,803.0,0.824147,0.993107,2
vod_004,1127.0,1163.0,0.977492,0.99973,5
vod_004,1167.0,1178.0,0.99266,0.99266,1
vod_004,1457.0,1488.0,0.984875,0.994453,4
vod_004,1537.0,1553.0,0.995189,0.996719,2
vod_004,1672.0,1708.0,0.946795,0.987914,4
vod_004,1772.0,1798.0,0.75384,0.854771,3
vod_004,1807.0,1858.0,0.866202,0.999586,7
vod_004,1937.0,1948.0,0.813493,0.813493,1
vod_004,1952.0,1978.0,0.895293,0.955192,3
vod_004,1982.0,1993.0,0.753349,0.753349,1
vod_004,2002.0,2033.0,0.954783,0.99756,5
vod_004,2057.0,2068.0,0.98763,0.98763,1
vod_004,2117.0,2128.0,0.913327,0.913327,1
vod_004,2147.0,2158.0,0.557063,0.557063,1
vod_004,2177.0,2218.0,0.952198,0.993602,7
